"id","title","institution","instructor","description","section","url","created_at","updated_at"
"6333","21L.701 Literary Interpretation: Interpreting Poetry","Massachusetts Institute of Technology","Prof. Alvin Kibel","This seminar offers a course of readings in lyric poetry. It aims to enhance the student's capacity to understand the nature of poetic language and the enjoyment of poetic texts by treating poems as messages to be deciphered.
The seminar will briefly touch upon the history of theories of figurative language since Aristotle and it will attend to the development of those theories during the last thirty years, noting the manner in which they tended to consider figures of speech distinct from normative or literal expression, and it will devote particular attention to the rise of theories that quarrel with this distinction.
The seminar also aims to communicate a rough sense of the history of English-speaking poetry since the early modern period. Some attention will be paid as well to the use of metaphor in science.","Literature","http://ocw.mit.edu/courses/literature/21l-701-literary-interpretation-interpreting-poetry-fall-2003","2013-12-22 16:58:41.763574","2013-12-22 16:58:41.763574"
"6334","21W.784 Becoming Digital: Writing About Media Change","Massachusetts Institute of Technology","Prof. Aden Evens","The computer and related technologies have invaded our daily lives, have changed the way we communicate, do business, gather information, entertain ourselves. Even technology once considered distinctly ""modern"" - photography, the telephone, movies, television - has been altered or replaced by faster and more dynamic media that allow more manipulation and control by the individual. Anyone can now create stunning photographic images without a processing lab; and film no longer earns its name, as the cinema often presents images that were never filmed to begin with, but created or doctored in the digital domain. What are the consequences of these changes for the media and arts they alter? How does digitizing affect the values, ethical and aesthetic, of images, texts, and sounds? How do these technologies change the way we spend our time and relate to other people? In the age of the digital, what becomes of property, of history, of identity? Through a series of careful comparisons of images, texts, movies, games, and music - pre-digital versus post-digital - this course will analyze the ways in which these media and our responses to them have changed in the digital era; and we will ask about the value of these changes.","Writing and Humanistic Studies","http://ocw.mit.edu/courses/writing-and-humanistic-studies/21w-784-becoming-digital-writing-about-media-change-fall-2005","2013-12-22 16:58:41.776575","2013-12-22 16:58:41.776575"
"6336","21F.041 Topics in South Asian Literature and Culture","Massachusetts Institute of Technology","Prof. Arundhati Banerjee","This subject aims to provide an overview of contemporary texts in regional languages in South Asian Literature and Cinema. We will cover major authors and film makers, writing from Bangladesh, India, Nepal, Pakistan and Sri Lanka. Within India, we will look at authors and directors working in different regional languages and as we examine their different socio-cultural, political and historical contexts we will attempt to understand what it means to study them under the all-unifying category of ""South Asian Literature and Culture"". Some of the major issues we shall explore include caste, gender, globalization and social change. We will end with exploring some of the newer, younger writers and directors and try to analyze some of the thematic and formal shifts in their work. Authors include Ashapurna Devi, Manto, Vijayan, Premchand, Mohanty, and Nasreen and film makers will include Adoor Gopalakrishnan, Satyajit Ray, Shyam Benegal, Aparna Sen and Rituporno Ghosh.","Foreign Languages and Literatures","http://ocw.mit.edu/courses/foreign-languages-and-literatures/21f-041-topics-in-south-asian-literature-and-culture-fall-2004","2013-12-22 16:58:41.806577","2013-12-22 16:58:41.806577"
"6337","8.286 The Early Universe","Massachusetts Institute of Technology","Prof. Alan Guth","The Early Universe provides an introduction to modern cosmology. The first half deals with the development of the big-bang theory from 1915 to 1980, and latter half with recent impact of particle theory.","Physics","http://ocw.mit.edu/courses/physics/8-286-the-early-universe-spring-2004","2013-12-22 16:58:41.823577","2013-12-22 16:58:41.823577"
"6338","1.017 / 1.010 Computing and Data Analysis for Environmental Applications","Massachusetts Institute of Technology","Prof. Dennis McLaughlin","This subject is a computer-oriented introduction to probability and data analysis. It is designed to give students the knowledge and practical experience they need to interpret lab and field data. Basic probability concepts are introduced at the outset because they provide a systematic way to describe uncertainty. They form the basis for the analysis of quantitative data in science and engineering. The MATLAB® programming language is used to perform virtual experiments and to analyze real-world data sets, many downloaded from the web. Programming applications include display and assessment of data sets, investigation of hypotheses, and identification of possible casual relationships between variables. This is the first semester that two courses, Computing and Data Analysis for Environmental Applications (1.017) and Uncertainty in Engineering (1.010), are being jointly offered and taught as a single course.","Civil and Environmental Engineering","http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-017-computing-and-data-analysis-for-environmental-applications-fall-2003","2013-12-22 16:58:41.840578","2013-12-22 16:58:41.840578"
"6339","CMS.600 / CMS.998 Videogame Theory and Analysis","Massachusetts Institute of Technology","Dr. Alice Robison","This course will serve as an introduction to the interdisciplinary academic study of videogames, examining their cultural, educational, and social functions in contemporary settings. By playing, analyzing, and reading and writing about videogames, we will examine debates surrounding how they function within socially situated contexts in order to better understand games' influence on and reflections of society. Readings will include contemporary videogame theory and the completion of a contemporary commercial videogame chosen in consultation with the instructor.","Comparative Media Studies","http://ocw.mit.edu/courses/comparative-media-studies/cms-600-videogame-theory-and-analysis-fall-2007","2013-12-22 16:58:41.858579","2013-12-22 16:58:41.858579"
"6340","6.013 Electromagnetics and Applications","Massachusetts Institute of Technology","Prof. David Staelin","This course explores electromagnetic phenomena in modern applications, including wireless and optical communications, circuits, computer interconnects and peripherals, microwave communications and radar, antennas, sensors, micro-electromechanical systems, and power generation and transmission. Fundamentals include quasistatic and dynamic solutions to Maxwell's equations; waves, radiation, and diffraction; coupling to media and structures; guided waves; resonance; acoustic analogs; and forces, power, and energy.","Electrical Engineering and Computer Science","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-013-electromagnetics-and-applications-spring-2009","2013-12-22 16:58:41.873580","2013-12-22 16:58:41.873580"
"6341","BIOL 112 - General Biology II","University of Massachusetts - Boston","Professor Brian White, Ph.D.","An integrated course stressing the principles of biology. Life processes are examined primarily at the organismal and population levels. Intended for students majoring in biology or for non-majors who wish to take advanced biology courses.","Biology","http://ocw.umb.edu/biology/bio-112","2013-12-22 16:58:41.887581","2013-12-22 16:58:41.887581"
"6342","6.780 Semiconductor Manufacturing","Massachusetts Institute of Technology","Prof. Duane Boning","6.780 covers statistical modeling and the control of semiconductor fabrication processes and plants. Topics covered include: design of experiments, response surface modeling, and process optimization; defect and parametric yield modeling; process/device/circuit yield optimization; monitoring, diagnosis, and feedback control of equipment and processes; and analysis and scheduling of semiconductor manufacturing operations.","Electrical Engineering and Computer Science","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-780-semiconductor-manufacturing-spring-2003","2013-12-22 16:58:41.902582","2013-12-22 16:58:41.902582"
"6343","21L.016 / 21M.616 Learning from the Past: Drama, Science, Performance","Massachusetts Institute of Technology","Prof. Diana Henderson
                                            Prof. Janet Sonenberg","This class explores the creation (and creativity) of the modern scientific and cultural world through study of western Europe in the 17th century, the age of Descartes and Newton, Shakespeare, Milton and Ford. It compares period thinking to present-day debates about the scientific method, art, religion, and society. This team-taught, interdisciplinary subject draws on a wide range of literary, dramatic, historical, and scientific texts and images, and involves theatrical experimentation as well as reading, writing, researching and conversing.
The primary theme of the class is to explore how England in the mid-seventeenth century became ""a world turned upside down"" by the new ideas and upheavals in religion, politics, and philosophy, ideas that would shape our modern world. Paying special attention to the ""theatricality"" of the new models and perspectives afforded by scientific experimentation, the class will read plays by Shakespeare, Tate, Brecht, Ford, Churchill, and Kushner, as well as primary and secondary texts from a wide range of disciplines. Students will also compose and perform in scenes based on that material.","Literature","http://ocw.mit.edu/courses/literature/21l-016-learning-from-the-past-drama-science-performance-spring-2009","2013-12-22 16:58:41.917583","2013-12-22 16:58:41.917583"
"6344","9.520-A Networks for Learning: Regression and Classification","Massachusetts Institute of Technology","Prof. Tomaso Poggio
                                            Dr. Alessandro Verri","The course focuses on the problem of supervised learning within the framework of Statistical Learning Theory. It starts with a review of classical statistical techniques, including Regularization Theory in RKHS for multivariate function approximation from sparse data. Next, VC theory is discussed in detail and used to justify classification and regression techniques such as Regularization Networks and Support Vector Machines. Selected topics such as boosting, feature selection and multiclass classification will complete the theory part of the course. During the course we will examine applications of several learning techniques in areas such as computer vision, computer graphics, database search and time-series analysis and prediction. We will briefly discuss implications of learning theories for how the brain may learn from experience, focusing on the neurobiology of object recognition. We plan to emphasize hands-on applications and exercises, paralleling the rapidly increasing practical uses of the techniques described in the subject.","Brain and Cognitive Sciences","http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-520-a-networks-for-learning-regression-and-classification-spring-2001","2013-12-22 16:58:41.931584","2013-12-22 16:58:41.931584"
"6345","17.547 Government and Politics of China","Massachusetts Institute of Technology","Prof. Edward Steinfeld","This course analyzes contemporary Chinese politics, both pre-Communist and Communist. It focuses on the process of modernization and political development of Chinese civilization. Graduate students are expected to pursue the subject at greater depth through reading and individual research.","Political Science","http://ocw.mit.edu/courses/political-science/17-547-government-and-politics-of-china-fall-2002","2013-12-22 16:58:41.947585","2013-12-22 16:58:41.947585"
"6347","12.091 Medical Geology/Geochemistry: An Exposure","Massachusetts Institute of Technology","Dr. Ila Pillalamarri(Dr. P. Ila)","This course introduces students to the basic concepts of Medical Geology/Geochemistry. Medical Geology/Geochemistry is the study of the interaction between abundances of elements and isotopes and the health of humans and plants.","Earth, Atmospheric, and Planetary Sciences","http://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-091-medical-geology-geochemistry-an-exposure-january-iap-2006","2013-12-22 16:58:41.975586","2013-12-22 16:58:41.975586"
"6348","24.209 Philosophy In Film and Other Media","Massachusetts Institute of Technology","Prof. Irving Singer","This course examines works of film in relation to thematic issues of philosophical importance that also occur in other arts, particularly literature and opera. Emphasis is put on film's ability to represent and express feeling as well as cognition. Both written and cinematic works by Sturges, Shaw, Cocteau, Hitchcock, Joyce, and Bergman, among others, are considered. There are no tests or quizzes, however students write two major papers on media/philosophical research topics of their choosing.","Linguistics and Philosophy","http://ocw.mit.edu/courses/linguistics-and-philosophy/24-209-philosophy-in-film-and-other-media-spring-2004","2013-12-22 16:58:41.991587","2013-12-22 16:58:41.991587"
"6349","21L.705 / SP.512 Major Authors: John Milton","Massachusetts Institute of Technology","Prof. Mary Fuller","In 1667, John Milton published what he intended both as the crowning achievement of a poetic career and a justification of God's ways to man: an epic poem which retold and reimagined the Biblical story of creation, temptation, and original sin. Even in a hostile political climate, Paradise Lost was almost immediately recognized as a classic, and one fate of a classic is to be rewritten, both by admirers and by antagonists. In this seminar, we will read Paradise Lost alongside works of 20th century fantasy and science fiction which rethink both Milton's text and its source. 
Students should come to the seminar having read Paradise Lost straight through at least once; this can be accomplished by taking the IAP subject, Reading Paradise Lost (21L.995), or independently. Twentieth century authors will include C. S. Lewis (Perelandra, The Lion, the Witch and the Wardrobe) and Philip Pullman (His Dark Materials), as well as assorted criticism. Each week, one class meeting will focus on Milton, and the other on one of the modern novels.","Literature","http://ocw.mit.edu/courses/literature/21l-705-major-authors-john-milton-spring-2008","2013-12-22 16:58:42.005588","2013-12-22 16:58:42.005588"
"6350","SP.240 / ESG.SP240 Composing Your Life: Exploration of Self through Visual Arts and Writing","Massachusetts Institute of Technology","Graham Ramsay
                                            Dr. Holly Sweet","In this interdisciplinary seminar, we explore a variety of visual and written tools for self exploration and self expression. Through discussion, written assignments, and directed exercises, students practice utilizing a variety of media to explore and express who they are.","Special Programs","http://ocw.mit.edu/courses/special-programs/sp-240-composing-your-life-exploration-of-self-through-visual-arts-and-writing-spring-2006","2013-12-22 16:58:42.019589","2013-12-22 16:58:42.019589"
"6351","2.062J / 1.138J / 18.376J Wave Propagation","Massachusetts Institute of Technology","Prof. Chiang Mei
                                            Prof. Rodolfo R. Rosales
                                            Prof. Triantaphyllos Akylas","This course discusses the Linearized theory of wave phenomena in applied mechanics. Examples are chosen from elasticity, acoustics, geophysics, hydrodynamics and other subjects. The topics include: basic concepts, one dimensional examples, characteristics, dispersion and group velocity, scattering, transmission and reflection, two dimensional reflection and refraction across an interface, mode conversion in elastic waves, diffraction and parabolic approximation, radiation from a line source, surface Rayleigh waves and Love waves in elastic media, waves on the sea surface and internal waves in a stratified fluid, waves in moving media, ship wave pattern, atmospheric lee waves behind an obstacle, and waves through a laminated media.","Mechanical Engineering","http://ocw.mit.edu/courses/mechanical-engineering/2-062j-wave-propagation-fall-2006","2013-12-22 16:58:42.030589","2013-12-22 16:58:42.030589"
"6352","STS.428 Technology and Change in Rural America","Massachusetts Institute of Technology","Prof. Deborah Fitzgerald","This course considers the historical dimensions of rural production from subsistence to industrialization, both in America and in an international context, with an emphasis on the role of science and technology. Topics include changing notions of progress; emergence of genetics and its complex applications to food production; mechanization of both farm practices and the food industry; role of migrant labor; management theory and its impact on farm practice; role of federal governments and NGOs in production systems; women in food production systems; and the green revolution.","Science, Technology, and Society","http://ocw.mit.edu/courses/science-technology-and-society/sts-428-technology-and-change-in-rural-america-fall-2004","2013-12-22 16:58:42.045590","2013-12-22 16:58:42.045590"
"6353","21L.002-2 Foundations of Western Culture II: Renaissance to Modernity","Massachusetts Institute of Technology","Prof. Alvin Kibel","This subject offers a broad survey of texts (both literary and philosophical) drawn from the Western tradition and selected to trace the growth of ideas about the nature of mankind's ethical and political life in the West since the renaissance. It will deal with the change in perspective imposed by scientific ideas, the general loss of a supernatural or religious perspective upon human events, and the effects for good or ill of the increasing authority of an intelligence uninformed by religion as a guide to life. The readings are roughly complementary to the readings in 21L001, and classroom discussion will stress appreciation and analysis of texts that came to represent the cultural heritage of the modern world.","Literature","http://ocw.mit.edu/courses/literature/21l-002-2-foundations-of-western-culture-ii-renaissance-to-modernity-spring-2003","2013-12-22 16:58:42.057591","2013-12-22 16:58:42.057591"
"6354","10.492-1 Integrated Chemical Engineering Topics I: Process Control by Design","Massachusetts Institute of Technology","Dr. Barry S. Johnston","In the ICE-Topics courses, various chemical engineering problems are presented and analyzed in an industrial context. Emphasis is on the integration of fundamentals with material property estimation, process control, product development, and computer simulation. Integration of societal issues, such as engineering ethics, environmental and safety considerations, and impact of technology on society are addressed in the context of case studies.The broad context for this ICE-Topics module is the commonsense notion that, when designing something, one should plan for the off-normal conditions that may occur. A continuous process is conceived and designed as a steady-state operation. However, the process must start up, shut down, and operate in the event of disturbances, and so the time-varying behavior of the process should not be neglected. It is helpful to consider the operability of a process early in the design, when alternatives are still being compared. In this module, we will examine some tools that will help to evaluate the operability of the candidate process at the preliminary design stage, before substantial effort has been invested.","Chemical Engineering","http://ocw.mit.edu/courses/chemical-engineering/10-492-1-integrated-chemical-engineering-topics-i-process-control-by-design-fall-2004","2013-12-22 16:58:42.071592","2013-12-22 16:58:42.071592"
"6357","CMS.796 Major Media Texts","Massachusetts Institute of Technology","Prof. Diana Henderson","This class does intensive close study and analysis of historically significant media ""texts"" that have been considered landmarks or have sustained extensive critical and scholarly discussion. Such texts may include oral epic, story cycles, plays, novels, films, opera, television drama and digital works. The course emphasizes close reading from a variety of contextual and aesthetic perspectives. The syllabus varies each year, and may be organized around works that have launched new modes and genres, works that reflect upon their own media practices, or on stories that migrate from one medium to another. At least one of the assigned texts is collaboratively taught, and visiting lectures and discussions are a regular feature of the subject.","Comparative Media Studies","http://ocw.mit.edu/courses/comparative-media-studies/cms-796-major-media-texts-fall-2006","2013-12-22 16:58:42.133595","2013-12-22 16:58:42.133595"
"6359","SP.713 Recreate Experiments from History: Inform the Future from the Past: Galileo","Massachusetts Institute of Technology","Dr. Elizabeth Cavicchi","2010 marks the 400th anniversary of Galileo's astonishing sightings of features on the moon, stars, and moons around Jupiter that no one had seen before. Recreate these new ways of seeing and exploring from the materials and techniques Galileo had on hand, while you reflect on the times and works of Galileo. What was it like to improvise new ways of seeing and exploring from the materials and techniques on hand? What do we notice? What surprises us? How can we relate to past experience and ideas? What are we curious to research? How does our experimenting grow into our learning? Let your own curiosity drive your explorations.","Special Programs","http://ocw.mit.edu/courses/special-programs/sp-713-recreate-experiments-from-history-inform-the-future-from-the-past-galileo-january-iap-2010","2013-12-22 16:58:42.162597","2013-12-22 16:58:42.162597"
"6360","STS.350 Social Study of Science and Technology","Massachusetts Institute of Technology","Prof. Stefan Helmreich","This course surveys canonical and recent theories and methods in science studies. We will organize our discussions around the concept of ""reproduction,"" referring variously to:
Scientific reproduction (how results are replicated in lab, field, disciplinary contexts)
Social reproduction (how social knowledge and relations are regenerated over time)
Biological reproduction (how organic substance is managed in the genetic age)
Electronic reproduction (how information is reassembled in techniques of transcription, simulation, computation).
Examining intersections and disruptions of these genres of reproduction, we seek to map relations among our social, biological, and electronic lives.","Science, Technology, and Society","http://ocw.mit.edu/courses/science-technology-and-society/sts-350-social-study-of-science-and-technology-spring-2004","2013-12-22 16:58:42.175598","2013-12-22 16:58:42.175598"
"6361","WM0903 Technology and Global Development","Delft University of Technology","Ravesteijn, W.","Companies and governments have to decide upon technological strategies, i.e. which products are to be developed and which processes and infrastructures are required for the future. Several tools to consider technological strategies are dealt with in this course. Study Goals: After the course the student has knowledge of: northern perception on development and the theories involved sustainable development in relation to the North-South issues 'adjusted' technology concepts in the North and South the consequences of the technology transfer to the Third World.","Sustainable Development","http://ocw.tudelft.nl/courses/sustainable-development/technology-and-global-development/course-home/","2013-12-22 16:58:42.188598","2013-12-22 16:58:42.188598"
"6363","EE261 The Fourier Transform and its Applications","Stanford University","Brad G Osgood","The goals for the course are to gain a facility with using the Fourier transform, both specific techniques and
general principles, and learning to recognize when, why, and how it is used. Together with a great
variety, the subject also has a great coherence, and the hope is students come to appreciate both. 
Topics include:
The Fourier transform as a tool for solving physical problems. Fourier series, the Fourier transform of continuous and discrete signals and its properties. The Dirac delta, distributions, and generalized transforms. Convolutions and correlations and applications; probability distributions, sampling theory, filters, and analysis of linear systems. The discrete Fourier transform and the FFT algorithm. Multidimensional Fourier transform and use in imaging. Further applications to optics, crystallography. Emphasis is on relating the theoretical principles to solving practical engineering and science problems.","Engineering","http://see.stanford.edu/see/courseinfo.aspx?coll=84d174c2-d74f-493d-92ae-c3f45c0ee091","2013-12-22 16:58:42.217600","2013-12-22 16:58:42.217600"
"6364","24.946 Linguistic Theory and the Japanese Language","Massachusetts Institute of Technology","Prof. Shigeru Miyagawa","This course is a detailed examination of the grammar of Japanese and its structure which is significantly different from English, with special emphasis on problems of interest in the study of linguistic universals. Data from a broad group of languages is studied for comparison with Japanese. This course assumes familiarity with linguistic theory.","Linguistics and Philosophy","http://ocw.mit.edu/courses/linguistics-and-philosophy/24-946-linguistic-theory-and-the-japanese-language-fall-2004","2013-12-22 16:58:42.233601","2013-12-22 16:58:42.233601"
"6365","17.261 / 17.262 Congress and the American Political System II","Massachusetts Institute of Technology","Prof. Charles Stewart, III","This course analyzes the development of the United States Congress by focusing on the competing theoretical lenses through which legislatures have been studied. In particular, it compares sociological and economic models of legislative behavior, applying those models to floor decision-making, committee behavior, political parties, relations with other branches of the Federal government, and elections. Graduate students are expected to pursue the subject in greater depth through reading and individual research.","Political Science","http://ocw.mit.edu/courses/political-science/17-261-congress-and-the-american-political-system-ii-fall-2005","2013-12-22 16:58:42.248602","2013-12-22 16:58:42.248602"
"6366","2.032 Dynamics","Massachusetts Institute of Technology","Prof. George Haller","This course reviews momentum and energy principles, and then covers the following topics: Hamilton's principle and Lagrange's equations; three-dimensional kinematics and dynamics of rigid bodies; steady motions and small deviations therefrom, gyroscopic effects, and causes of instability; free and forced vibrations of lumped-parameter and continuous systems; nonlinear oscillations and the phase plane; nonholonomic systems; and an introduction to wave propagation in continuous systems.
This course was originally developed by Professor T. Akylas.","Mechanical Engineering","http://ocw.mit.edu/courses/mechanical-engineering/2-032-dynamics-fall-2004","2013-12-22 16:58:42.262603","2013-12-22 16:58:42.262603"
"6367","20.020 Introduction to Biological Engineering Design","Massachusetts Institute of Technology","Dr. Natalie Kuldell","This class is a project-based introduction to the engineering of synthetic biological systems. Throughout the term, students develop projects that are responsive to real-world problems of their choosing, and whose solutions depend on biological technologies. Lectures, discussions, and studio exercises will introduce (1) components and control of prokaryotic and eukaryotic behavior, (2) DNA synthesis, standards, and abstraction in biological engineering, and (3) issues of human practice, including biological safety; security; ownership, sharing, and innovation; and ethics. Enrollment preference is given to freshmen.
This subject was originally developed and first taught in Spring 2008 by Drew Endy and Natalie Kuldell. Many of Drew's materials are used in this Spring 2009 version, and are included with his permission.
This OCW Web site is based on the OpenWetWare class Wiki, found at OpenWetWare: 20.020 (S09)","Biological Engineering","http://ocw.mit.edu/courses/biological-engineering/20-020-introduction-to-biological-engineering-design-spring-2009","2013-12-22 16:58:42.275603","2013-12-22 16:58:42.275603"
"6368","9.520 Statistical Learning Theory and Applications","Massachusetts Institute of Technology","Prof. Tomaso Poggio","This course is for upper-level graduate students who are planning careers in computational neuroscience. This course focuses on the problem of supervised learning from the perspective of modern statistical learning theory starting with the theory of multivariate function approximation from sparse data. It develops basic tools such as Regularization including Support Vector Machines for regression and classification. It derives generalization bounds using both stability and VC theory. It also discusses topics such as boosting and feature selection and examines applications in several areas: Computer Vision, Computer Graphics, Text Classification, and Bioinformatics. The final projects, hands-on applications, and exercises are designed to illustrate the rapidly increasing practical uses of the techniques described throughout the course.","Brain and Cognitive Sciences","http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-520-statistical-learning-theory-and-applications-spring-2006","2013-12-22 16:58:42.289604","2013-12-22 16:58:42.289604"
